component,metric,Selected
Core5 (Socket 0),IPC,x
Core5 (Socket 0),FREQ,x
Core5 (Socket 0),AFREQ,x
Core5 (Socket 0),CFREQ,x
Core5 (Socket 0),L3MISS,x
Core5 (Socket 0),L2MISS,x
Core5 (Socket 0),L3HIT,x
Core5 (Socket 0),L2HIT,x
Core5 (Socket 0),L3MPI,x
Core5 (Socket 0),L2MPI,x
Core5 (Socket 0),C0res%,x
Core5 (Socket 0),C1res%,x
Core5 (Socket 0),C3res%,x
Core5 (Socket 0),C6res%,x
Core5 (Socket 0),C7res%,x
Core5 (Socket 0),TEMP,x
Core5 (Socket 0),INST,x
Core5 (Socket 0),ACYC,x
Core5 (Socket 0),TIME(ticks),x
Core5 (Socket 0),PhysIPC,x
Core5 (Socket 0),PhysIPC%,x
Core5 (Socket 0),INSTnom,x
Core5 (Socket 0),INSTnom%,x
Core6 (Socket 0),EXEC,x
Core6 (Socket 0),IPC,x
Core6 (Socket 0),FREQ,x
Core6 (Socket 0),AFREQ,x
Core6 (Socket 0),CFREQ,x
Core6 (Socket 0),L3MISS,x
Core6 (Socket 0),L2MISS,x
Core6 (Socket 0),L3HIT,x
Core6 (Socket 0),L2HIT,x
Core6 (Socket 0),L3MPI,x
Core6 (Socket 0),L2MPI,x
Core6 (Socket 0),C0res%,x
Core6 (Socket 0),C1res%,x
Core6 (Socket 0),C3res%,x
Core6 (Socket 0),C6res%,x
Core6 (Socket 0),C7res%,x
Core6 (Socket 0),TEMP,x
Core6 (Socket 0),INST,x
Core6 (Socket 0),ACYC,x
Core6 (Socket 0),TIME(ticks),x
Core6 (Socket 0),PhysIPC,x
Core6 (Socket 0),PhysIPC%,x
Core6 (Socket 0),INSTnom,x
Core6 (Socket 0),INSTnom%,x
Core7 (Socket 0),EXEC,x
Core7 (Socket 0),IPC,x
Core7 (Socket 0),FREQ,x
Core7 (Socket 0),AFREQ,x
Core7 (Socket 0),CFREQ,x
Core7 (Socket 0),L3MISS,x
Core7 (Socket 0),L2MISS,x
Core7 (Socket 0),L3HIT,x
Core7 (Socket 0),L2HIT,x
