==================================================
AFFINITY COMBINATIONS SUMMARY
Total Unique Combinations to Test: 116
P-Cores Available: 8, E-Cores Available: 12
==================================================
Index | P-Cores | E-Cores | Total | Combination (Representative)
75    | 5       | 11      | 16    | [0, 1, 6, 7, 8, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
76    | 5       | 12      | 17    | [0, 1, 6, 7, 8, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
77    | 6       | 0       | 6     | [0, 1, 6, 7, 8, 9]
78    | 6       | 1       | 7     | [0, 1, 6, 7, 8, 9, 2]
79    | 6       | 2       | 8     | [0, 1, 6, 7, 8, 9, 2, 3]
80    | 6       | 3       | 9     | [0, 1, 6, 7, 8, 9, 2, 3, 4]
81    | 6       | 4       | 10    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5]
82    | 6       | 5       | 11    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10]
83    | 6       | 6       | 12    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11]
84    | 6       | 7       | 13    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11, 12]
85    | 6       | 8       | 14    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11, 12, 13]
86    | 6       | 9       | 15    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11, 12, 13, 14]
87    | 6       | 10      | 16    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
88    | 6       | 11      | 17    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
89    | 6       | 12      | 18    | [0, 1, 6, 7, 8, 9, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
90    | 7       | 0       | 7     | [0, 1, 6, 7, 8, 9, 18]
91    | 7       | 1       | 8     | [0, 1, 6, 7, 8, 9, 18, 2]
92    | 7       | 2       | 9     | [0, 1, 6, 7, 8, 9, 18, 2, 3]
93    | 7       | 3       | 10    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4]
94    | 7       | 4       | 11    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5]
95    | 7       | 5       | 12    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10]
96    | 7       | 6       | 13    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11]
97    | 7       | 7       | 14    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11, 12]
98    | 7       | 8       | 15    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11, 12, 13]
99    | 7       | 9       | 16    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11, 12, 13, 14]
100   | 7       | 10      | 17    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
101   | 7       | 11      | 18    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
102   | 7       | 12      | 19    | [0, 1, 6, 7, 8, 9, 18, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
103   | 8       | 0       | 8     | [0, 1, 6, 7, 8, 9, 18, 19]
104   | 8       | 1       | 9     | [0, 1, 6, 7, 8, 9, 18, 19, 2]
105   | 8       | 2       | 10    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3]
106   | 8       | 3       | 11    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4]
107   | 8       | 4       | 12    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5]
108   | 8       | 5       | 13    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10]
109   | 8       | 6       | 14    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11]
110   | 8       | 7       | 15    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11, 12]
111   | 8       | 8       | 16    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11, 12, 13]
112   | 8       | 9       | 17    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11, 12, 13, 14]
113   | 8       | 10      | 18    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
114   | 8       | 11      | 19    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
115   | 8       | 12      | 20    | [0, 1, 6, 7, 8, 9, 18, 19, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
==================================================

Prime95 process identified. PID: 9060
Original CPU affinity stored: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]
Monitoring CSV C:\Users\Pedro\Desktop\hwinfo_log.csv every 10 seconds...
[2025-11-20 16:35:56] CPU affinity changed to cores: [2]


















[2025-11-20 16:38:57] CPU affinity changed to cores: [2, 3]


















[2025-11-20 16:41:57] CPU affinity changed to cores: [2, 3, 4]


















[2025-11-20 16:44:57] CPU affinity changed to cores: [2, 3, 4, 5]


















[2025-11-20 16:47:58] CPU affinity changed to cores: [2, 3, 4, 5, 10]


















[2025-11-20 16:50:58] CPU affinity changed to cores: [2, 3, 4, 5, 10, 11]


















[2025-11-20 16:53:58] CPU affinity changed to cores: [2, 3, 4, 5, 10, 11, 12]


















[2025-11-20 16:56:59] CPU affinity changed to cores: [2, 3, 4, 5, 10, 11, 12, 13]


















[2025-11-20 16:59:59] CPU affinity changed to cores: [2, 3, 4, 5, 10, 11, 12, 13, 14]


















[2025-11-20 17:03:00] CPU affinity changed to cores: [2, 3, 4, 5, 10, 11, 12, 13, 14, 15]


















[2025-11-20 17:06:00] CPU affinity changed to cores: [2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]


















[2025-11-20 17:09:01] CPU affinity changed to cores: [2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]


















[2025-11-20 17:12:01] CPU affinity changed to cores: [0]


















[2025-11-20 17:15:02] CPU affinity changed to cores: [0, 2]


















[2025-11-20 17:18:02] CPU affinity changed to cores: [0, 2, 3]


















[2025-11-20 17:21:02] CPU affinity changed to cores: [0, 2, 3, 4]


















[2025-11-20 17:24:03] CPU affinity changed to cores: [0, 2, 3, 4, 5]


















[2025-11-20 17:27:03] CPU affinity changed to cores: [0, 2, 3, 4, 5, 10]


















[2025-11-20 17:30:04] CPU affinity changed to cores: [0, 2, 3, 4, 5, 10, 11]


















[2025-11-20 17:33:04] CPU affinity changed to cores: [0, 2, 3, 4, 5, 10, 11, 12]


















[2025-11-20 17:36:05] CPU affinity changed to cores: [0, 2, 3, 4, 5, 10, 11, 12, 13]


















[2025-11-20 17:39:05] CPU affinity changed to cores: [0, 2, 3, 4, 5, 10, 11, 12, 13, 14]


















[2025-11-20 17:42:06] CPU affinity changed to cores: [0, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]


















[2025-11-20 17:45:06] CPU affinity changed to cores: [0, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]


















[2025-11-20 17:48:07] CPU affinity changed to cores: [0, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]


















[2025-11-20 17:51:07] CPU affinity changed to cores: [0, 1]


Exiting...

--- Final Affinity Average Power (W) ---
Cores: 2 | Avg Power: 29.67 W
Cores: 2_3 | Avg Power: 38.85 W
Cores: 2_3_4 | Avg Power: 49.14 W
Cores: 2_3_4_5 | Avg Power: 60.85 W
Cores: 2_3_4_5_10 | Avg Power: 66.19 W
Cores: 2_3_4_5_10_11 | Avg Power: 72.03 W
Cores: 2_3_4_5_10_11_12 | Avg Power: 78.62 W
Cores: 2_3_4_5_10_11_12_13 | Avg Power: 86.32 W
Cores: 2_3_4_5_10_11_12_13_14 | Avg Power: 94.07 W
Cores: 2_3_4_5_10_11_12_13_14_15 | Avg Power: 102.87 W
Cores: 2_3_4_5_10_11_12_13_14_15_16 | Avg Power: 114.28 W
Cores: 2_3_4_5_10_11_12_13_14_15_16_17 | Avg Power: 128.73 W
Cores: 0 | Avg Power: 44.51 W
Cores: 0_2 | Avg Power: 53.16 W
Cores: 0_2_3 | Avg Power: 62.64 W
Cores: 0_2_3_4 | Avg Power: 70.69 W
Cores: 0_2_3_4_5 | Avg Power: 77.47 W
Cores: 0_2_3_4_5_10 | Avg Power: 84.62 W
Cores: 0_2_3_4_5_10_11 | Avg Power: 94.19 W
Cores: 0_2_3_4_5_10_11_12 | Avg Power: 100.70 W
Cores: 0_2_3_4_5_10_11_12_13 | Avg Power: 110.10 W
Cores: 0_2_3_4_5_10_11_12_13_14 | Avg Power: 121.25 W
Cores: 0_2_3_4_5_10_11_12_13_14_15 | Avg Power: 134.84 W
Cores: 0_2_3_4_5_10_11_12_13_14_15_16 | Avg Power: 143.84 W
Cores: 0_2_3_4_5_10_11_12_13_14_15_16_17 | Avg Power: 154.29 W
--------------------------------------

Restored original CPU affinity: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]

==================================================
AFFINITY COMBINATIONS SUMMARY
Total Unique Combinations to Test: 116
P-Cores Available: 8, E-Cores Available: 12
==================================================
Index | P-Cores | E-Cores | Total | Combination (Representative)
--------------------------------------------------
0     | 0       | 1       | 1     | [2]
1     | 0       | 2       | 2     | [2, 3]
2     | 0       | 3       | 3     | [2, 3, 4]
3     | 0       | 4       | 4     | [2, 3, 4, 5]
4     | 0       | 5       | 5     | [2, 3, 4, 5, 10]
5     | 0       | 6       | 6     | [2, 3, 4, 5, 10, 11]
6     | 0       | 7       | 7     | [2, 3, 4, 5, 10, 11, 12]
7     | 0       | 8       | 8     | [2, 3, 4, 5, 10, 11, 12, 13]
8     | 0       | 9       | 9     | [2, 3, 4, 5, 10, 11, 12, 13, 14]
9     | 0       | 10      | 10    | [2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
10    | 0       | 11      | 11    | [2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
11    | 0       | 12      | 12    | [2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
12    | 1       | 0       | 1     | [0]
13    | 1       | 1       | 2     | [0, 2]
14    | 1       | 2       | 3     | [0, 2, 3]
15    | 1       | 3       | 4     | [0, 2, 3, 4]
16    | 1       | 4       | 5     | [0, 2, 3, 4, 5]
17    | 1       | 5       | 6     | [0, 2, 3, 4, 5, 10]
18    | 1       | 6       | 7     | [0, 2, 3, 4, 5, 10, 11]
19    | 1       | 7       | 8     | [0, 2, 3, 4, 5, 10, 11, 12]
20    | 1       | 8       | 9     | [0, 2, 3, 4, 5, 10, 11, 12, 13]
21    | 1       | 9       | 10    | [0, 2, 3, 4, 5, 10, 11, 12, 13, 14]
22    | 1       | 10      | 11    | [0, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
23    | 1       | 11      | 12    | [0, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16]
24    | 1       | 12      | 13    | [0, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15, 16, 17]
25    | 2       | 0       | 2     | [0, 1]
26    | 2       | 1       | 3     | [0, 1, 2]
27    | 2       | 2       | 4     | [0, 1, 2, 3]
28    | 2       | 3       | 5     | [0, 1, 2, 3, 4]
29    | 2       | 4       | 6     | [0, 1, 2, 3, 4, 5]
30    | 2       | 5       | 7     | [0, 1, 2, 3, 4, 5, 10]
31    | 2       | 6       | 8     | [0, 1, 2, 3, 4, 5, 10, 11]
32    | 2       | 7       | 9     | [0, 1, 2, 3, 4, 5, 10, 11, 12]
33    | 2       | 8       | 10    | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13]
34    | 2       | 9       | 11    | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14]
35    | 2       | 10      | 12    | [0, 1, 2, 3, 4, 5, 10, 11, 12, 13, 14, 15]
